ClaveMateria,Clave Materi(NOUSAR),Materia,Grupo,TipoGrupo,Docente,SalOn,Horario,Cupo
CBE100296,CBE-1002-96,CALCULO I,AA,Teoria,RODRIGUEZ MARRUFO LEONARDO,103-D1,"Lunes 16:00-18:00, Miércoles 16:00-18:00",35
CBE100296,CBE-1002-96,CALCULO I,AB,Teoria,RODRIGUEZ MARRUFO LUIS,103-C1,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE100296,CBE-1002-96,CALCULO I,AC,Teoria,RODRIGUEZ MARRUFO LUIS,103-C-208,"Martes 18:00-20:00, Jueves 18:00-20:00",30
CBE100296,CBE-1002-96,CALCULO I,AD,Teoria,LLANAS RODRIGUEZ PAVEL GERARDO,103-C-208,"Lunes 11:00-13:00, Miércoles 11:00-13:00",30
CBE100296,CBE-1002-96,CALCULO I,AE,Teoria,,103-C-208,"Lunes 13:00-15:00, Miércoles 13:00-15:00",30
CBE100296,CBE-1002-96,CALCULO I,AF,Teoria,HASSE ARMENGOL ISAAC,103-C-208,"Martes 11:00-13:00, Jueves 11:00-13:00",30
CBE100296,CBE-1002-96,CALCULO I,AG,Teoria,TORRES SAENZ IVONNE,103-C1,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100296,CBE-1002-96,CALCULO I,AH,Teoria,ESTRADA ESTRADA OSCAR HERNAN,103-C1,"Lunes 13:00-15:00, Miércoles 13:00-15:00",35
CBE100296,CBE-1002-96,CALCULO I,AI,Teoria,VARGAS MONTOYA SERGIO MISAEL,103-H-202,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE100296,CBE-1002-96,CALCULO I,AJ,Teoria,OLVERA LOPEZ SONIA AZENETH,103-H-101,"Lunes 11:00-13:00, Miércoles 11:00-13:00",35
CBE100296,CBE-1002-96,CALCULO I,AK,Teoria,SOSA RINCON DIANA ELENA,103-C1,"Lunes 20:00-22:00, Miércoles 20:00-22:00",35
CBE100296,CBE-1002-96,CALCULO I,AL,Teoria,BARRANDEY ADRIAN DAVID,103-H-103,"Lunes 11:00-13:00, Miércoles 11:00-13:00",35
CBE100296,CBE-1002-96,CALCULO I,AM,Teoria,VALDEZ SAENZ LORENZA CARMEN,103,"Viernes 7:00-9:00, Sábado 7:00-9:00",30
